City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,yantzaza,-3.8278,-78.7594,27.01,88,69,1.15,EC,1712871729
337,nogliki,51.8333,143.1667,3.52,88,32,5.36,RU,1712871729
338,shimoda,34.6667,138.95,13.39,82,83,6.34,JP,1712871729
339,berdigestyakh,62.0989,126.6992,-13.19,93,100,3.98,RU,1712871729
340,mugia,43.1041,-9.2179,16.06,71,100,2.47,ES,1712871729
341,key west,24.5557,-81.7826,29.0,80,0,5.14,US,1712871503
342,ikungi,-5.1333,34.7667,17.48,95,100,1.72,TZ,1712871729
343,namdrik,5.5994,168.1028,27.74,83,100,9.01,MH,1712871729
344,malango,-2.9627,119.9001,20.19,100,100,0.42,ID,1712871729
345,cabedelo,-6.9811,-34.8339,29.37,80,100,4.5,BR,1712871729
346,arno,60.1167,18.6333,5.99,86,26,5.34,SE,1712871730
347,villagarzon,1.0375,-76.6267,30.58,74,83,1.16,CO,1712871730
348,barah,13.7,30.3667,25.21,10,12,4.77,SD,1712871730
349,konarka,19.9,86.1167,23.22,50,23,1.95,IN,1712871603
350,krumovgrad,41.4667,25.65,12.81,73,2,2.72,BG,1712871730
351,yichang,30.7144,111.2847,14.88,89,4,1.17,CN,1712871539
352,taro,-8.3862,115.28,23.0,99,91,0.38,ID,1712871730
353,san luis de la loma,17.2706,-100.8939,28.96,59,3,3.03,MX,1712871730
354,callao,-12.0667,-77.15,26.16,65,0,5.14,PE,1712871592
355,fort mcmurray,56.7268,-111.381,13.77,28,75,8.23,CA,1712871730
356,georgetown,5.4112,100.3354,28.3,86,20,1.54,MY,1712871730
357,san andres,12.5847,-81.7006,31.01,66,20,6.17,CO,1712871446
358,mount isa,-20.7333,139.5,13.87,54,0,3.09,AU,1712871730
359,fort riley north,39.1108,-96.8139,17.78,20,20,4.63,US,1712871474
360,dunedin,-45.8742,170.5036,8.78,94,100,1.34,NZ,1712871535
361,fujin,47.26,132.0322,10.34,71,24,3.29,CN,1712871612
